ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-02-18,583.3815085509568,525.3086392891528,650.689990435224,583.3815085509568,583.3815085509568,4.9745253807477585,4.9745253807477585,4.9745253807477585,-0.7764225258999776,-0.7764225258999776,-0.7764225258999776,5.7509479066477365,5.7509479066477365,5.7509479066477365,0.0,0.0,0.0,588.3560339317046
2021-02-19,584.5523547504697,523.7609507133006,651.5283265971276,584.5523547504697,584.5523547504697,2.8385846730210083,2.8385846730210083,2.8385846730210083,-1.5915505664913139,-1.5915505664913139,-1.5915505664913139,4.430135239512322,4.430135239512322,4.430135239512322,0.0,0.0,0.0,587.3909394234907
2021-02-22,588.0648933490095,523.7479956167854,653.0136612545967,588.0648933490095,588.0648933490095,0.03873919710225197,0.03873919710225197,0.03873919710225197,0.0905589421195965,0.0905589421195965,0.0905589421195965,-0.051819745017344536,-0.051819745017344536,-0.051819745017344536,0.0,0.0,0.0,588.1036325461117
2021-02-23,589.2357395485228,521.6877777371882,647.107223328607,589.2357395485228,589.2357395485228,-1.8139841212408307,-1.8139841212408307,-1.8139841212408307,-0.14411885724829654,-0.14411885724829654,-0.14411885724829654,-1.6698652639925342,-1.6698652639925342,-1.6698652639925342,0.0,0.0,0.0,587.4217554272819
2021-02-24,590.4065857480363,525.8243816791567,651.1715372987525,590.4065857480363,590.4065857480363,-3.31348597910817,-3.31348597910817,-3.31348597910817,0.007037805281060837,0.007037805281060837,0.007037805281060837,-3.3205237843892306,-3.3205237843892306,-3.3205237843892306,0.0,0.0,0.0,587.0930997689281
2021-02-25,591.5774319475491,525.0925802591606,647.235449486962,591.5774319475491,591.5774319475491,-5.760507287467597,-5.760507287467597,-5.760507287467597,-0.7764225259006996,-0.7764225259006996,-0.7764225259006996,-4.984084761566897,-4.984084761566897,-4.984084761566897,0.0,0.0,0.0,585.8169246600816
2021-02-26,592.7482781470626,518.9567924710294,644.8141234186018,592.7482781470626,592.7482781470626,-8.231650268554692,-8.231650268554692,-8.231650268554692,-1.5915505664900746,-1.5915505664900746,-1.5915505664900746,-6.640099702064617,-6.640099702064617,-6.640099702064617,0.0,0.0,0.0,584.5166278785078
2021-03-01,596.2608167456023,518.7834583790598,647.578840831959,596.2608167456023,596.2608167456023,-11.266813896685893,-11.266813896685893,-11.266813896685893,0.09055894212308707,0.09055894212308707,0.09055894212308707,-11.35737283880898,-11.35737283880898,-11.35737283880898,0.0,0.0,0.0,584.9940028489164
2021-03-02,597.4316629451157,522.2101503427247,647.0349605878946,597.4316629451157,597.4316629451157,-12.924795731260792,-12.924795731260792,-12.924795731260792,-0.1441188572446849,-0.1441188572446849,-0.1441188572446849,-12.780676874016107,-12.780676874016107,-12.780676874016107,0.0,0.0,0.0,584.5068672138549
2021-03-03,598.6025091446286,522.9093859008062,647.0233280700161,598.6025091446286,598.6025091446286,-14.092657022476558,-14.092657022476558,-14.092657022476558,0.007037805282371873,0.007037805282371873,0.007037805282371873,-14.099694827758931,-14.099694827758931,-14.099694827758931,0.0,0.0,0.0,584.509852122152
2021-03-04,599.773355344142,523.0749639527929,649.1874482872452,599.773355344142,599.773355344142,-16.075669657256018,-16.075669657256018,-16.075669657256018,-0.7764225259027967,-0.7764225259027967,-0.7764225259027967,-15.299247131353221,-15.299247131353221,-15.299247131353221,0.0,0.0,0.0,583.697685686886
2021-03-05,600.9442015436555,521.3163720793252,651.7579710925592,600.9442015436555,600.9442015436555,-17.95793956410569,-17.95793956410569,-17.95793956410569,-1.5915505664949539,-1.5915505664949539,-1.5915505664949539,-16.366388997610734,-16.366388997610734,-16.366388997610734,0.0,0.0,0.0,582.9862619795498
2021-03-08,604.4567401421951,522.2696573450115,653.0477466656258,604.4567401421951,604.4567401421951,-18.591695309200727,-18.591695309200727,-18.591695309200727,0.09055894212164964,0.09055894212164964,0.09055894212164964,-18.682254251322377,-18.682254251322377,-18.682254251322377,0.0,0.0,0.0,585.8650448329944
2021-03-09,605.627586341708,520.7686304129666,647.5834878477136,605.627586341708,605.627586341708,-19.28652456871502,-19.28652456871502,-19.28652456871502,-0.14411885724612036,-0.14411885724612036,-0.14411885724612036,-19.1424057114689,-19.1424057114689,-19.1424057114689,0.0,0.0,0.0,586.341061772993
2021-03-10,606.7984325412215,521.7275688929188,647.7060833060978,606.7984325412215,606.7984325412215,-19.438331704336658,-19.438331704336658,-19.438331704336658,0.007037805281519318,0.007037805281519318,0.007037805281519318,-19.445369509618175,-19.445369509618175,-19.445369509618175,0.0,0.0,0.0,587.3601008368848
2021-03-11,607.9692787407349,516.6763463641142,646.7763907566124,607.9692787407349,607.9692787407349,-20.370899537418882,-20.370899537418882,-20.370899537418882,-0.7764225259021434,-0.7764225259021434,-0.7764225259021434,-19.594477011516744,-19.594477011516744,-19.594477011516744,0.0,0.0,0.0,587.5983792033161
2021-03-12,609.1401249402478,526.2357390660499,654.3207064825832,609.1401249402478,609.1401249402478,-21.187145495019532,-21.187145495019532,-21.187145495019532,-1.5915505664940284,-1.5915505664940284,-1.5915505664940284,-19.595594928525504,-19.595594928525504,-19.595594928525504,0.0,0.0,0.0,587.9529794452283
2021-03-15,612.6526635387875,532.2744641319426,659.6587931068533,612.6526635387875,612.6526635387875,-18.712092771370116,-18.712092771370116,-18.712092771370116,0.09055894212259619,0.09055894212259619,0.09055894212259619,-18.802651713492715,-18.802651713492715,-18.802651713492715,0.0,0.0,0.0,593.9405707674174
2021-03-16,613.8235097383009,531.2766551318313,663.0986843953964,613.8235097383009,613.8235097383009,-18.456443017744427,-18.456443017744427,-18.456443017744427,-0.1441188572450323,-0.1441188572450323,-0.1441188572450323,-18.312324160499397,-18.312324160499397,-18.312324160499397,0.0,0.0,0.0,595.3670667205565
2021-03-17,614.9943559378144,529.903044753884,667.039769600432,614.9943559378144,614.9943559378144,-17.724879879267803,-17.724879879267803,-17.724879879267803,0.007037805284813125,0.007037805284813125,0.007037805284813125,-17.73191768455262,-17.73191768455262,-17.73191768455262,0.0,0.0,0.0,597.2694760585466
2021-03-18,616.1652021373272,534.3231851415605,662.5882300464299,616.1652021373272,616.1652021373272,-17.852754340581882,-17.852754340581882,-17.852754340581882,-0.7764225259042404,-0.7764225259042404,-0.7764225259042404,-17.07633181467764,-17.07633181467764,-17.07633181467764,0.0,0.0,0.0,598.3124477967453
